,name,author,link,lyrics,chords
0,Love Is In The Air,John Paul Young,https://tabs.ultimate-guitar.com/tab/john-paul-young/love-is-in-the-air-chords-683365,"Love is in the air, everywhere I look around,
Love is in the air, every sight and every sound.
And I don't know if I'm being foolish,
Don't know if I'm feeling wise.
But it's something that I must believe in,
And it's there when I look in your eyes.
Love is in the air, in the whisper of a tree,
Love is in the air, in the thunder of the sea.
And I don't know if I am just dreaming,
Don't know if I'm feeling safe.
But it's something that  I must believe in,
And it's there when you call out my name.
Love is in the air,        
Oh, love is in the air, in the rising of the sun,
Love is in the air, when the day is nearly done.
But I don't know if you're an illusion,
Don't know if I see the truth,
But there's something that I must believe in,
and you're there when I reach out for you.
Love is in the air, everywhere I look around,
Love is in the air, every sight and every sound.
And I don't know if I'm being foolish,
Don't know if I'm feeling wise.
But it's something that I must believe in,
And it's there when I look in your eyes.
Love is in the air,        
","['G', 'C', 'G', 'C', 'D', 'C', 'D', 'Em', 'Eb', 'G', 'Abdim7', 'Em', 'D', 'G', 'C', 'G', 'C', 'D', 'C', 'D', 'Em', 'Eb', 'G', 'Abdim7', 'Em', 'D', 'G', 'Em', 'C', 'G', 'C', 'G', 'C', 'D', 'C', 'D', 'Em', 'Eb', 'G', 'Abdim7', 'Em', 'D', 'G', 'C', 'G', 'C', 'D', 'C', 'D', 'Em', 'Eb', 'G', 'Abdim7', 'Em', 'D', 'G', 'Em', 'C']"
1,Scenes From An Italian Restaurant (ver 3),Billy Joel,https://tabs.ultimate-guitar.com/tab/billy-joel/scenes-from-an-italian-restaurant-chords-1760397,"| /  /  /  / | /  /  /  / | /  /  /  / | /  /  /  / |    a bottle of
white       a bottle of red
    Perhaps a bottle of ro se in stead
   We'll get a table near the street
In our old fa miliar place
You and I--fa-a-ace  to face    hmmm
  A bottle of red,      a bottle of white
    It all depends on your  aaaa  ppe tite
   I'll meet you any time  you  want
In our I talian     Restau-.
 rant
Things are okay with me these days
Got a good job, got a good office
Got a new wife, got a new life
And the family's fine
We lost touch long ago 
You lost weight
I did not know
   You could ever look so good after
So much ti-i-i-me.
You re member those days hanging out
At the village green
Engineer boots, leather jackets
And tight blue jeans
Drop a dime in the box play the
Song about New Or leans
   Cold beer,    hot lights
   My sweet ro mantic teenage
 nights                                                  yaaa
..piano:
           oh oh          oh oh           oh oh  oh oh oh oh
 Oh        oh oh          oh oh          oh oh oh oh oh
   Brenda and Eddie were the popular steadies
And the king and the queen of the prom
Riding around with the car top down and the radio on
   Nobody looked any finer
Or was more of a hit at the Parkway Diner
We never knew we could want more than that out of life
Surely Brenda and Eddie would always know how to sur vive.
Oooh oh   oh oh     oh oh   oh oh oh oh
Oooh oh   oh oh     oh oh   oh oh oh oh
Brenda and Eddie were still going steady in the summer of '75
When they decided the marriage would be at the end of July
Everyone said they were crazy
""Brenda you know you're much too lazy
Eddie could never af ford to live that kind of life.""          
ohhh But there we were wavin' Brenda and Eddie good bye.
Oh oh    oh oh   oh oh
They got an apartment with deep pile carpet
And a couple of paintings from Sears
A big waterbed that they bought with the bread
They had saved for a couple of years
They started to fight when the money got tight
And they just didn't count on the tears.
Whoa oh oh oh oh oh oh   yaaa rock n’
 roll
                                        oh
 Oh    oh oh
They lived for a while in a very nice style
But it's always the same in the  end
They got a divorce as a matter of course
And they parted the closest of freh- ends
Then the king and the queen went back to the green
But you can never go back there a gain.
Oh oh oh ohhhhh    oh oh oh ohhhhhh
Brenda and Eddie had had it already
By the summer of '75
From the high to the low
To the end of the show
For the rest of their lives
They couldn't go back to the greasers
The best they could do was pick up the pieces
We always knew they would both find a way to get by   ooooh
That's all I heard about Brenda and Eddie
Can't tell you more than I told you al ready
And here we are wavin' Brenda and Eddie good
Bye. Oh oh  Oh oh  Oh oh oh oh
Oh  Oh oh   Oh oh    Oh oh  Oh oh
oh  Oh oh   Oh oh  Oh oh oh oh oh     
            ooo      oh yaa ya aa ya                         
                                 |3/4.............................|4/4
   A bottle of red, ooooo   and bottle of white
    Whatever kind of mood you're in  to night
   I'll meet you any  ti-i-ime you want
In our Italian  Restau-
 rant.
","['F', 'Gm7', 'C', 'Bb', 'F', 'C', 'F', 'Gm7/F', 'C/F', 'Bb/F', 'F', 'C', 'Bb', 'F/A', 'Bb', 'C', 'Gm7', 'C', 'Gm7', 'C', 'Bb/C', 'F', 'Gm7/F', 'C/F', 'Bb/F', 'F', 'G7', 'F/A', 'G/B', 'C', 'Bb/D', 'C/E', 'F', 'Gm7/F', 'C', 'Fmaj7', 'Bbmaj7', 'G', 'D', 'G7', 'G9', 'C', 'F', 'Dsus4', 'G/D', 'D', 'G', 'D', 'G7', 'G9', 'C', 'F', 'Dsus4', 'G/D', 'D', 'Eb', 'Bb', 'F', 'Eb', 'Bb', 'F', 'Eb', 'Bb', 'F', 'Eb', 'Bb', 'C', 'G', 'G', 'Gmaj7', 'G7', 'C', 'F', 'Am7', 'D', 'D', 'G', 'F', 'C/E', 'D', 'G', 'F', 'C/E', 'D', 'G', 'D', 'D', 'C', 'G', 'G/B', 'C', 'F', 'C', 'F', 'C', 'G', 'D', 'D', 'C', 'G', 'C', 'G', 'F', 'E7', 'Am7', 'G/B', 'C', 'D', 'G', 'F', 'C/E', 'D', 'G', 'F', 'C/E', 'D', 'G', 'D', 'D', 'C', 'G', 'G/B', 'C', 'F', 'C', 'F', 'C', 'G', 'D', 'D', 'C', 'G', 'C', 'G', 'F', 'E7', 'Am7', 'G/B', 'C', 'D', 'G', 'F', 'C/E', 'D', 'F/C', 'D', 'G', 'C', 'G', 'F/C', 'D', 'G', 'C', 'G', 'F/C', 'D', 'Em', 'A7', 'Am7/D', 'G', 'D', 'Am7', 'G/B', 'C', 'D', 'G', 'F', 'Em', 'D', 'F/C', 'D', 'C', 'G', 'F/C', 'D', 'C', 'G', 'F/C', 'D', 'Em7', 'A7', 'Am7/D', 'G', 'D', 'D', 'C', 'G', 'G/B', 'C', 'F', 'C', 'F', 'C', 'G', 'D', 'D', 'C', 'G', 'C', 'G', 'F', 'E7', 'Am7', 'G/B', 'C', 'D', 'Am7', 'G/B', 'C', 'D', 'Am7', 'G/B', 'C', 'D', 'G', 'F', 'C/E', 'D', 'G', 'F', 'C/E', 'D', 'G', 'F', 'C/E', 'D', 'F', 'Gm7/F', 'C/F', 'Bb/F', 'F', 'C', 'Bb', 'F', 'Bb', 'C', 'F/C', 'C', 'F/C', 'C', 'F', 'Gm7/F', 'C/F', 'Bb/F', 'F', 'G7', 'F/A', 'G/B', 'C', 'Bb/D', 'C/E', 'F', 'Gm7/F']"
2,Gold Dust Woman (ver 4),Fleetwood Mac,https://tabs.ultimate-guitar.com/tab/fleetwood-mac/gold-dust-woman-chords-1749508,"Rock on gold dust woman, take your silver spoon,
Dig your grave,  |  /  /  /  /  |  /  /  /  /  |  /  /  /  /  |
       Heartless challenge, pick your path and I'll pray
|  /  /  /  /  |  /  /  /  /  |  /  /  /  /  |  /  /  /  /  |
Wake up in the morning, see your sunrise loves...
...to go down,  |  /  /  /  /  |  /  /  /  /  |  /  /  /  /  |
       Lousy lovers ...pick their prey,
But they never cry out loud,        cry out-------
       Well, did she make you cry, make you break down,
Shatter your illusions of love,  and is it over now?
Do you know how?   Pick up the pieces,
And go home------------  |  /  /  /  /  |  /  /  /  /  |
|  /  /  /  /  |  /  /  /  /  |  /  /  /  /  |  /  /  /  /  |
Rock on ancient queen,   follow those who pale...
...In your shadow,  |  /  /  /  /  |  /  /  /  /  |  /  /  /  /  |
Rulers make bad lovers,  you better put your kingdom...
...up for sale,         up for sale
       Well, did she make you cry, make you break down,
Shatter your illusions of love,  and is it over now?
Do you know how?   Pick up the pieces, and go home
       Well, did she make you cry,  make you break down,
Shatter your illusions of love, and now tell me, is it over now,
Do you know how ...to pick up the pieces,
And go home-----------?  ...and go home------------,
And go home--------  Ah, ah-ah-----ah-----!
Hey, ...shadow  ...of a woman!    Black ...widow!
Pale ...shadow  ...of a dragon!   Death ...woman!
You----  pale ...shadow ...of a woman!  Black ...widow!
Pale ...shadow ...of a dragon! You-- pale ...shadow ...of a woman!
","['Dsus2', 'G/B', 'Cadd9', 'G/B', 'Dsus2', 'Bb/D', 'Dsus2', 'Bb/D', 'Dsus2', 'G/B', 'Cadd9', 'G/B', 'Dsus2', 'Bb/D', 'Dsus2', 'Bb/D', 'Dsus2', 'G/B', 'Cadd9', 'G/B', 'Dsus2', 'Bb/D', 'Dsus2', 'Bb/D', 'Dsus2', 'G/B', 'Cadd9', 'G/B', 'Dsus2', 'Bb/D', 'Dsus2', 'Dsus2', 'Bb6', 'G/B', 'Cadd9', 'Dsus2', 'Bb6', 'G/B', 'Cadd9', 'Dsus2', 'Bb/D', 'Dsus2', 'Bb/D', 'Dsus2', 'Dsus2', 'G/B', 'Cadd9', 'G/B', 'Dsus2', 'Bb/D', 'Dsus2', 'Bb/D', 'Dsus2', 'G/B', 'Cadd9', 'G/B', 'Dsus2', 'Bb/D', 'Dsus2', 'Dsus2', 'Bb6', 'G/B', 'Cadd9', 'Dsus2', 'Bb6', 'G/B', 'Cadd9', 'Dsus2', 'Dsus2', 'Bb6', 'G/B', 'Cadd9', 'Dsus2', 'Bb6', 'G/B', 'Cadd9', 'Dsus2', 'Bb/D', 'Dsus2', 'Bb/D', 'Dsus2', 'Bb/D', 'Dsus2', 'Bb/D', 'Dsus2', 'Dsus2', 'Dsus2', 'Dsus2', 'Dsus2']"
3,If Not For You (ver 4),George Harrison,https://tabs.ultimate-guitar.com/tab/george-harrison/if-not-for-you-chords-1857741,"   If not for you
    Babe, I couldn't even find the door
    I couldn't even see the floor
    I'd be sad and blue
 If not for you
   If not for you
    The night would see me wide awake
    The day would surely have to break
    It would not be new
 If not for you
 If not for you, my sky would fall
 Rain would gather too
 Without your love I'd be nowhere at all
I'd be lost, if not for you          (break)
     If not for you
    The winter would hold no spring
    'Couldn't hear a robin sing
    I just wouldn't have a clue
 If not for you
 If not for you, my sky would fall
 Rain would gather too
 Without your love I'd be nowhere at all
I'd be lost, if not for you          (break)
     If not for you
    The winter would hold no spring
    'Couldn't hear a robin sing
    I just wouldn't have a clue
 If not for you
          If not for you-ou
","['C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'Am', 'Am', 'G', 'D', 'C', 'G', 'D', 'C', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'Am', 'Am', 'G', 'D', 'C', 'G', 'D', 'C', 'C', 'G', 'D', 'G', 'C', 'G', 'A', 'D', 'C', 'Bm', 'D/A', 'D/A', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'Am', 'Am', 'G', 'C', 'G', 'D', 'G', 'G7', 'C', 'G', 'A', 'D', 'C', 'Bm', 'D/A', 'D/A', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'Am', 'Am', 'G', 'G', 'D', 'C', 'G']"
4,Lovers Cross,Jim Croce,https://tabs.ultimate-guitar.com/tab/jim-croce/lovers-cross-chords-268483,"Guess that it was bound to happen; was just a matter of time
But now I've come to my decision, And it's a-one of the painful kind
'Cause now it seems that you wanted a martyr,
Just a regular guy wouldn't do
But baby, I can't hang upon no lover's cross for you.
Yes I really got to hand it to you, 'cause girl, you really tried
But for every time that we spent laughin'
There were two times that I cried.
And you were tryin' to make me your martyr
And that's the one thing I just couldn't do
'Cause baby, I can't hang upon no lover's cross for you.
'Cause tables are meant for turnin',
And people are bound to change
And bridges are meant for burnin',
When the people and memories they join aren't the same
So I'll hope that you can find another who can take what I could not
He'll have to be a super guy or maybe a super god
'Cause I never was much of a martyr before
And I ain't 'bout to start nothin' new
And baby, I can't hang upon no lover's cross for you.
","['C', 'Am', 'Dm', 'G7', 'C', 'Am', 'Dm', 'G7', 'C', 'Am', 'Dm', 'C', 'C/B', 'Am', 'Am/G', 'F', 'G', 'Am', 'Am/G', 'F', 'C/E', 'Dm', 'G7', 'C', 'C/B', 'Am', 'Dm', 'G7', 'C', 'C7', 'C', 'Am', 'Dm', 'G7', 'C', 'Am', 'Dm', 'G7', 'C', 'Am', 'Dm', 'G7', 'C', 'C/B', 'Am', 'Am/G', 'F', 'G', 'Am', 'Am/G', 'F', 'C', 'Dm', 'G7', 'C', 'C/B', 'Am', 'Dm', 'G7', 'C', 'C7', 'F', 'G', 'Am', 'Em', 'F', 'C', 'Dm', 'G7', 'F', 'G', 'Am', 'Em', 'F', 'C', 'Dm7', 'G7', 'Dm7', 'G7', 'C', 'Am', 'Dm', 'G7', 'C', 'Am', 'Dm', 'G7', 'C', 'Am', 'Dm', 'G7', 'C', 'C/B', 'Am', 'Am/G', 'F', 'G', 'Am', 'Am/G', 'F', 'C/E', 'Dm', 'G7', 'C', 'C/B', 'Am', 'Dm', 'G7', 'C']"
5,Slip Slidin Away,Paul Simon,https://tabs.ultimate-guitar.com/tab/paul-simon/slip-slidin-away-chords-192892,"Slip sliding away, slip sliding away
You know the nearer your destination, the more you slip sliding away
Whoah and I know a man, he came from my hometown
He wore his passion for his woman like a thorny crown
He said Dolores, I live in fear
My love for you's so overpowering, I'm afraid that I will disappear
","['G', 'Em', 'G', 'D', 'C', 'D', 'G', 'Em', 'G', 'Em', 'D', 'C', 'C7', 'G', 'Em', 'G', 'D', 'C', 'D', 'G']"
6,Where You Lead,Carole King,https://tabs.ultimate-guitar.com/tab/carole-king/where-you-lead-chords-356122,"Loving you the way i do
I only wanna be with you
And i would go to the ends of the earth
'Cos darling, to me thats what youre worth
Where you lead, i will follow
Anywhere that you tell me to
If you need, you need me to be with you
I will follow where you lead
If you're out on the road
Feeling lonely and so cold
All you have to do is call my name
And I'll be there on the next train
Where you lead, i will follow
Anywhere that you tell me to
If you need, you need me to be with you
I will follow where you lead
I always wanted a real home
with flowers on the windowsill
But if you want to live in New York City
Honey, you know I will
I never thought I could get satisfaction
From just one man
But if anyone can keep me happy,
You're the one who can
Where you lead, i will follow
Anywhere that you tell me to
If you need, you need me to be with you
I will follow where you lead
I'm gonna follow where you lead
I'm gonna follow where you lead
I'm gonna follow where you lead...
","['G', 'C', 'G', 'C', 'G', 'Em', 'Am', 'D', 'G', 'C', 'F', 'C', 'F', 'Dm', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'Em', 'Am', 'D', 'G', 'C', 'F', 'C', 'F', 'Dm', 'G', 'C', 'F', 'C', 'Dm', 'C', 'F', 'C', 'Dm', 'C', 'F', 'C', 'Dm', 'C', 'F', 'C', 'F', 'Dm', 'G', 'C', 'F', 'C', 'F', 'Dm', 'G', 'C', 'C', 'Dm', 'F', 'C', 'Dm', 'F', 'C', 'Dm', 'F']"
7,Fooling Yourself,Styx,https://tabs.ultimate-guitar.com/tab/styx/fooling-yourself-chords-851179,"You see the world through your cynical eyes,
You're a troubled young man, I can tell.
You've got it all in the palm of your hand,
But your hand's wet with sweat and your head needs a rest.
And you're fooling yourself if you don't believe it.
You're kidding yourself if you don't believe it.
Why must you be such an angry young man?
When your future looks quite bright to me.
And how can there be such a sinister plan,
that could hide such a lamb, such a caring young man?
And you're fooling yourself if you don't believe it.
You're killing yourself if you don't believe it.
Get up, get back on your feet.
You're the one they can't beat, and you know it.
Come on, let's see   what you've got.
Just take your best shot and don't blow it.
And you're fooling yourself if you don't believe it.
You're killing yourself if you don't believe it.
Get up, get back on your feet.
You're the one they can't beat, and you know it.
Come on, let's see   what you've got.
Just take your best shot and don't blow it.
","['D', 'C/D', 'D', 'C/D', 'D', 'C/D', 'Bb', 'C/Bb', 'Bb', 'C', 'Bb', 'D/A', 'G/A', 'D/A', 'G/A', 'D', 'C/D', 'D', 'C/D', 'D', 'C/D', 'Bb', 'C/Bb', 'Bb', 'D/A', 'G/A', 'D/A', 'G/A', 'D', 'Eb', 'D', 'D', 'D', 'D', 'C/D', 'D', 'Eb', 'D', 'D', 'C', 'D', 'D', 'C', 'D', 'Eb', 'D', 'D', 'D', 'D', 'C/D', 'D', 'Eb', 'D', 'D', 'C', 'D', 'D', 'C', 'D/A', 'G/A', 'D/A', 'G/A', 'D', 'Eb', 'D', 'D', 'D', 'D', 'C/D', 'D', 'Eb', 'D', 'D', 'C', 'D', 'D', 'C', 'D', 'Eb', 'D', 'D', 'D', 'D', 'C/D', 'D', 'Eb', 'D', 'D', 'C', 'D', 'D', 'C']"
8,Only You (ver 2),Ringo Starr,https://tabs.ultimate-guitar.com/tab/ringo-starr/only-you-chords-1055762,"Only you can make this world seem right
Only you can make the darkness bright
Only you and you alone can thrill me like you do
And fill my heart with love for only you       (break)
Only you can make this change in me
For it's true you are my destiny
When you hold my hand I understand
The magic that you do
You're my dream come true
My one and only you
(Spoken) Only you can make this world seem right
(Spoken) Only you can make the darkness bright
Only you and you alone can thrill me like you do
And fill my heart with love for only you       (break)
Only you can make this change in me
For it's true you are my destiny
When you hold my hand I understand
The magic that you do
You're my dream come true
My one, my one and only you
Only you,               only you,      only you 
","['A', 'C#7', 'F#m', 'A7', 'D', 'E', 'A', 'C#7/G#', 'F#m', 'B', 'E7', 'F7', 'E', 'Eaug', 'A', 'C#7', 'F#m', 'A7', 'D', 'Dm', 'A', 'C#7/G#', 'F#', 'B', 'E', 'A', 'D', 'A', 'Eaug', 'A', 'C#7', 'F#m', 'A7', 'D', 'E', 'A', 'C#7/G#', 'F#m', 'B', 'E7', 'F7', 'E', 'Eaug', 'A', 'C#7', 'F#m', 'A7', 'D', 'Dm', 'A', 'C#7/G#', 'F#', 'B', 'E', 'A', 'D/A', 'A', 'D/A', 'A', 'D/A', 'A', 'D/A', 'A', 'D/A', 'A']"
9,All Dead All Dead,Queen,https://tabs.ultimate-guitar.com/tab/queen/all-dead-all-dead-chords-99358,"She came without a farthing
A babe without a name
So much ado 'bout nothing
Is what she's try to say
So much ado my lover
So many games we played
Through ev'ry fleeted summer
Through ev'ry precious day
All dead all dead
All the dreams we had
And I wonder why I still live on
All dead all dead
And alone I'm spared
My sweeter half instead
All dead and gone all dead
All dead all dead
At the rainbow's end
And still I hear her own sweet song
All dead all dead
Take me back again
You know my little friend's
All dead and gone
Her ways are always with me
I wonder all the while
But please you must forgive me
I am old but still a child
All dead all dead
But I should not grieve
In time it comes to ev'ryone
All dead all dead
But in hope I breathe
Of course I don't believe
You're dead and gone
All dead and gone
","['Dm', 'A', 'Dm', 'A', 'Dm', 'C', 'F', 'Gm', 'A', 'Dm', 'Dm', 'A', 'Dm', 'A', 'Dm', 'C', 'F', 'Gm', 'A', 'Dm', 'C', 'F', 'Gm', 'F/A', 'Bb', 'F', 'Dm', 'Bb', 'C', 'F', 'C', 'F', 'Gm', 'F/A', 'Bb', 'F', 'A7', 'Dm', 'Bb', 'F', 'Bb', 'C', 'F', 'Gm', 'F/A', 'Bb', 'F', 'Dm', 'Bb', 'C', 'F', 'C', 'F', 'Gm', 'F/A', 'Bb', 'F', 'A7', 'Dm', 'Bb', 'F', 'Dm', 'A', 'Dm', 'A', 'Dm', 'C', 'F', 'Gm', 'A', 'Dm', 'C', 'F', 'Gm', 'F/A', 'Bb', 'F', 'Dm', 'Bb', 'C', 'F', 'C', 'F', 'Gm', 'F/A', 'Bb', 'F', 'A7', 'Dm', 'Bb', 'F', 'Bb', 'F']"
