,name,author,link,lyrics,chords
0,Third Rate Romance,Sammy Kershaw,https://tabs.ultimate-guitar.com/tab/sammy-kershaw/third-rate-romance-chords-3922652,"Sittin at a tiny table in a ritzy restaurant  
She was staring at her coffee cup
He was trying to keep his courage up by applying booze
The talk was small when they talked at all
They both knew what they wanted         
There was no need to talk about it
They were old enough to scope it out and keep it loose
She said you don't look like my type but I guess you'll do
Third rate romance, low rent rendezvous
He said I'll even tell you that I love you if you want me to
Third rate romance, low rent rendezvous
When they left the bar they got in his car and they drove away
He drove to the family inn. She didn't even have to pretend she
Didn't know what for
Then he went to the desk and made his request while she waited outside
He came back with the key and she said give it to me and I'll           
Unlock the door
She kept saying I've never really done this kind of thing before        
Have you?
Third rate romance, low rent rendezvous
And he said yes I have but only a time or two
Third rate romance, low rent rendezvous
Third rate romance, low rent rendezvous
Third rate romance, low rent rendezvous
","['A', 'E', 'E', 'A', 'A', 'E', 'E', 'A', 'C#7', 'F#m', 'D', 'A', 'E', 'A', 'C#7', 'F#m', 'D', 'A', 'E', 'A', 'A', 'E', 'E', 'A', 'A', 'E', 'E', 'A', 'C#7', 'F#m', 'A', 'A', 'E', 'A', 'C#7', 'F#m', 'D', 'A', 'E', 'A', 'A', 'E', 'A', 'A', 'E', 'A']"
1,Silver Sea,The Masterless Men,https://tabs.ultimate-guitar.com/tab/the-masterless-men/silver-sea-chords-3971248,"Outside The Rain Is Softly Falling
In The Distance I Can Hear A Foghorn Sound
I Pull My Blanket Just A Little Closer
My Mind Is On A Ship That's Outward Bound
On A Voyage Through A Memory Sailing On A Silver Sea
The Moon And Stars Above Now Brightly Shin   ing
The Wind That Fills The Sails Is a Lullaby That Tells The Tale
Of All The Things That I Was Glad To Leave Be   hind
The Ocean Has Always Been A Part Of Me
And I Can Feel The Salt Water Running Through My Veins
I Think Of All The Places Where My Ship Will Take Me
But The Thought Of Your Gentle whispers Leaves Me Strained
On A Voyage Through A Memory Sailing On A Silver Sea
The Moon And Stars Above Now Brightly Shin   ing
The Wind That Fills The Sails Is A Lullaby That Tells A Tale
Of All The Things That I Was Glad To Leave Be   hind
As I Rise And Look Out My Window
A Wallet For A Right Before My Eyes
And The Sea Comes Where Time Is Slowly Ticking
How I Wish I Could Make My Life Feel Fine
On A Voyage Through A Memory Sailing On A Silver Sea
The Moon And Stars Above Now Brightly Shining
The Wind That Fills The Sails Is A Lullaby That Tells A Tale
Of All The Things That I Was Glad To Leave Be   hind
On A Voyage Through A Memory Sailing On A Silver Sea
The Moon And Stars Above Now Brightly Shining
The Wind Fills The Sails Is A Lullaby That Tells A Tale
Of All The Things That I Was Glad To Leave Be   hind
Yes The Wind That Fills The Sails Is A Lullaby That Tells A Tale
Of All The Things That I Was Glad To Leave Be   hind
","['D', 'G', 'A', 'D', 'A', 'D', 'G', 'A', 'D', 'A', 'D', 'G', 'A', 'D', 'A', 'D', 'G', 'A', 'D', 'A', 'D', 'D', 'G', 'A', 'D', 'A', 'D', 'G', 'A', 'D', 'A', 'D', 'G', 'A', 'D', 'A', 'D', 'G', 'A', 'D', 'A', 'D', 'D', 'G', 'A', 'D', 'A', 'D', 'G', 'A', 'D', 'A', 'D', 'G', 'A', 'D', 'A', 'D', 'G', 'A', 'D', 'A', 'D', 'D', 'G', 'A', 'D', 'A', 'D', 'G', 'A', 'D', 'A', 'D', 'D', 'G', 'A', 'D', 'A', 'D']"
2,Talk To Me Heart,Curtis Wright,https://tabs.ultimate-guitar.com/tab/curtis-wright/talk-to-me-heart-chords-4170907,"What would you do
In this situation
I'm looking to you
For some inspiration
'Cause it's in lonely times like these
That a man doesn't know what he sees
I guess it's time to look
From a different point of view
So won't you, talk to me heart
And say what's on your mind
Come on and talk to me heart
Before I run out of time
I've got to know just how you feel
Before I decide if she's for real
Do I give her the part
You gotta talk to me heart
I can't always see the forest
For the trees
And if this one don't work out
I know you're gonna blame me
But it's high time I made a move
Tell me what she has to prove
Ah' come on heart
Before she gets away from me
So won't you, talk to me heart
And say what's on your mind
Come on and talk to me heart
Before I run out of time
I've got to know just how you feel
Before I decide if she's for real
Do I give her the part
You gotta talk to me heart
I've got to know just how you feel
Before I decide if she's for real
Do I give her the part
You gotta talk to me heart
You gotta talk to me heart
Come on and talk to me heart
Talk to me heart
Talk to me heart
Talk to me heart...
","['C', 'G', 'C', 'G', 'Bm', 'Em', 'Bm', 'C', 'G', 'Am7', 'Dsus4', 'D', 'C', 'G', 'C', 'D', 'Bm', 'Em', 'Bm', 'Em', 'C', 'D', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'Bm', 'Em', 'Bm', 'Em', 'Am7', 'Dsus4', 'D', 'C', 'G', 'C', 'D', 'Bm', 'Em', 'Bm', 'Em', 'C', 'D', 'C', 'G', 'C', 'D', 'Bm', 'Em', 'Bm', 'Em', 'C', 'D', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G']"
3,Lonely Cowboy,Don Edwards,https://tabs.ultimate-guitar.com/tab/don-edwards/lonely-cowboy-chords-4042633,"Night's shadows falling fast
The skies are overcast
A lonely cowboy rides through the night
No moon is hanging low
No coyote's tale of vow
No sounds to break the still of the night
Where are you heading for?
Where are you bound?
Your dogies are no more
No reply the night wind sighs
No moon is in the sky
Just sadness passing by
As lonely cowboys rides through the night
No reply the night wind sighs
No moon is in the sky
Just sadness passing by
As lonely cowboy rides through the night
Oh
Through the night
","['Bb', 'Gm', 'Ebm', 'Bb', 'Bb', 'C7', 'Bb', 'Gm', 'Cm7', 'F', 'Bbm', 'Gm', 'Gm7', 'Ebm', 'Gm', 'C7', 'B7', 'Bb', 'Gm7', 'Cm7', 'F7', 'Bb', 'Ebm', 'Dm', 'Em', 'A7', 'Dm', 'Bb', 'A7', 'Dm', 'Dm', 'Em', 'A7', 'Bb', 'C7', 'F7', 'Bb', 'Gm', 'Ebm', 'Bb', 'Bb', 'C7', 'Bb', 'Gm', 'Cm7', 'F', 'Bb', 'Bb', 'Dm', 'C7', 'F7', 'Bb', 'Gm', 'Ebm', 'Bb', 'Bb', 'C7', 'Bb', 'Gm', 'Cm7', 'F', 'Bb', 'F', 'Bb', 'Gm', 'Cm', 'F', 'Bb']"
4,Just To Hold You,Ray Wylie Hubbard,https://tabs.ultimate-guitar.com/tab/ray-wylie-hubbard/just-to-hold-you-chords-1094854,"All you know of me is my reputation
Some have called me a storm about to rage.
But if you'll take me not forsake me,
I'll hand you my heart in a Golden Cage.
For I love you, with reckless abandon
And I have loved you like that from the start.    
It's my good fortune just to know you.
Your eyes put wildness in my heart.
Down from the Mountains I've come like thunder.
For I've lain to long where the cold rivers run.
Just to know you, just to flow with you,
Just to grow with you, and to reap and sew with you.
Just to hold you when your hair's undone.
Like a flash of lightning in the heavens
Some lights light up a darkened sky
Who hide their hearts and their love deny
But if you'll take me, not forsake me
If you'll help me just as I am.
I will love you beyond forever
And pledge to you my heart on sacred ground.
Down from the Mountains I've come like thunder.
I've lain to long where the cold rivers run.
Just to know you, just to flow with you,
Just to grow with you, and to reap and sew with you.
Just to hold you when your hairs undone.
Now out in the badlands, I am an outlay
But I stand on the words of Saint Paul.
Though we speak like angels and gain the whole world,
If we don't have love, we have nothing at all.
And If I displease you and you don't want me.
I still wish you love for love is blessed.
We can take nothing greater, upon our journey,
And rest assured, we need to take nothing less.
Down from the Mountains I've come like thunder.
I've lain to long where the cold rivers run.
Just to know you, just to flow with you,
Just to grow with you, and to reap and sew with you.
Just to hold you when your hairs undone.
Just to hold you when your hairs undone.
","['D', 'G', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'A', 'D', 'G', 'D', 'D', 'A', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'D', 'G', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'A', 'D', 'G', 'D', 'D', 'A', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'A', 'D', 'D', 'G', 'D', 'D', 'D', 'A', 'D', 'G', 'D', 'D', 'A', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'D', 'A', 'D']"
5,Livin On Love (ver 3),Alan Jackson,https://tabs.ultimate-guitar.com/tab/alan-jackson/livin-on-love-chords-2110491,"Two young people without a thing
Say some vows and spread their wings
And settle down with just what they need
Living on love
She don't care 'bout whats in style 
She just likes the way he smiles
It takes more than marble and tile
Living on love
Living on love buyin on time
Without somebody nothing aint worth a dime
Just like a old fashion story book rhyme living on love
It sounds simple that's what youre thinking but love
can walk through fire without blinking
It dosen't take much when you get enough living on love
Two old people without a thing children gone but still they sing
Side by side in that front porch swing living on love
He cant see anymore she can barely sweep the floor
Hand in hand they walk through that door, living on love 
No it dosent take much when you get enough living on love. 
","['E', 'A', 'E', 'A', 'D', 'A', 'E', 'A', 'E', 'A', 'D', 'A', 'E', 'A', 'E', 'A', 'D', 'A', 'D', 'A', 'E7', 'A', 'E', 'A', 'D', 'A', 'E', 'A', 'A', 'E', 'A', 'D', 'A', 'E', 'A', 'A', 'E', 'E', 'A', 'A', 'E7', 'D', 'A', 'A', 'E']"
6,Back Where I Come From (ver 2),Kenny Chesney,https://tabs.ultimate-guitar.com/tab/kenny-chesney/back-where-i-come-from-chords-480200,"In The Town Where I Was Raised
The Clock Ticks And The Cattle Graze
Time Passed With Amazing Graze
Back Where I Come From
You Can Lie On A River Bank
Or Paint Your Name On A Water Tank
Or Miscount All The Beers You Drank
Back Where I Come From
Back Where I Come From
Where I'll Be When It's Said And Done
I'm Proud As Anyone
That's Where I Come From---
We Learned In The Sunday School
Who Made The Sun Shine Through
I Know Who Made The Moon Shine Too
Back Where I Come From
Blue Eyes On A Saturday Night
Tan Legs In The Broad Day Light
TVs They Were Black And White
Back Where I Come From
Some Say It's A Backwards Place
Narrow Minds On A Narrow Way
But I Make It A Point To Say
Thats Where I Come From
Thats Where I Come From
Where I'll Be When Its Said And Done
I'm As Proud As Anyone
Thats Where I Come From
Back Where I Come From
I'm An Old Tenneseean
I'm Proud As Anyone
Thats Where I Come From---
","['F#', 'C#', 'A#m', 'B', 'F#', 'C#', 'A#m', 'B', 'F#', 'C#', 'A#m', 'B', 'F#', 'C#', 'A#m', 'B', 'C#', 'B', 'F#', 'B', 'C#', 'C#', 'B', 'F#', 'C#', 'F#', 'F#', 'C#', 'A#m', 'G', 'F#', 'C#', 'A#m', 'B', 'F#', 'C#', 'A#m', 'B', 'F#', 'C#', 'A#m', 'B', 'F#', 'C#', 'A#m', 'B', 'F#', 'C#', 'A#m', 'B', 'C#', 'B', 'F#', 'B', 'C#', 'C#', 'B', 'F#', 'C#', 'C#', 'B', 'F#', 'B', 'C#', 'C#', 'B', 'F#', 'C#', 'F#']"
7,Ireland,Garth Brooks,https://tabs.ultimate-guitar.com/tab/garth-brooks/ireland-chords-447670,"They say Mother Earth is breathing
With each wave that finds the shore
Her soul rises in the evening
For to open twilight's doors
Her eyes are the stars in heaven
Watching o'er us all the while
And her heart it is in Ireland
Deep within the Emerald Isle
We were forty against hundreds,
Ireland, I am coming home!
I can see your rolling fields of green
And fences made of stone.
I am reaching out, won't you take my hand
I'm coming home, I-re-land!
Yes I am home, I-re-land!
","['A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'A', 'F#m', 'A', 'A', 'A', 'D', 'D', 'D', 'A', 'E', 'E', 'A', 'A', 'F#m', 'D', 'A', 'D', 'A', 'F#m', 'E', 'F#m', 'A', 'D', 'A', 'F#m', 'D', 'E', 'A', 'A', 'F#m', 'D', 'E', 'A']"
8,Can I Trust You With My Heart,Travis Tritt,https://tabs.ultimate-guitar.com/tab/travis-tritt/can-i-trust-you-with-my-heart-chords-330535,"When you meet that certain someone 
You been searchin' hard to find
It's a new love full of passion 
That can sometimes make you blind
I don't mind bein' swept away
If I know right from the start
So before we go much further girl
Can I trust you with my heart?
In the time we've spent together 
I have learned to trust in you
So many things you've given 
Before I even asked you to
But reality and romance
Are sometimes far apart
So what I really need to know is
Can I trust you with my heart
Can I cast my cares upon you? 
Can you stand a heavy load?
Can I count on you to walk me, 
Down that long and winding road?
If you promise me these simple things 
I can guarantee…you can always count on me
  Ohh
Can I cast my cares upon you? 
Can you stand a heavy load?
Can I count on you to walk me, 
Down that long and winding road?
When two hearts solely surrender 
And are sworn to understand
It completes a perfect union
Between a woman and a man
So please don't misunderstand me 
I don't wanna to go too far
Without knowing just one answer
Can I trust you with my heart?
Please girl, give me just one answer 
Can I trust you with my heart?
","['D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'Bm', 'A', 'G', 'D', 'G', 'A', 'D', 'G', 'D', 'G', 'A', 'Bm', 'G', 'D', 'A', 'D', 'G', 'D', 'Bm', 'A', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'G', 'D', 'A', 'D', 'D', 'G', 'D']"
9,Can I Trust You With My Heart (ver 2),Travis Tritt,https://tabs.ultimate-guitar.com/tab/travis-tritt/can-i-trust-you-with-my-heart-chords-1851102,"When you meet that certain someone, you been searchin' hard to find
It's a new love full of passion, that can sometimes make you blind
I don't mind bein' swept away, if I know right from the start
So before we go much further girl, can I trust you with my heart?
In the time we've spent together, I have learned to trust in you
So many things you've given, before I even asked you to
But reality and romance, are sometimes far apart
So what I really need to know is, can I trust you with my heart
Can I cast my cares upon you, can you stand a heavy load?
Can I count on you to walk me, down that long and winding road?
If you promise me these simple things, I can guarantee…you can always count on me
Yeah  yeaaaah ….Ohh………
Can I cast my cares upon you, can you stand a heavy load?
Can I count on you to walk me, down that long and winding road?
When two hearts solely surrender, and are sworn to understand
It completes a perfect union, between a woman and a man
So please don't misunderstand me, I don't wanna to go too far
Without knowing just one answer, can I trust you with my heart?
    Please girl, give me just one answer, can I trust you with my heart?
","['D', 'G', 'D', 'Em', 'A', 'D', 'D7', 'G', 'Gm', 'D', 'A', 'D', 'G', 'D', 'G', 'D', 'Em', 'A', 'D', 'D7', 'G', 'Gm', 'D', 'A', 'D', 'D7', 'G', 'D', 'Bm', 'Em', 'A', 'G', 'D', 'G', 'A', 'D', 'G', 'D', 'Em', 'D', 'Bm', 'G', 'D', 'A', 'D', 'G', 'D', 'Bm', 'Em', 'A', 'D', 'G', 'D', 'Em', 'A', 'D', 'D7', 'G', 'Gm', 'D', 'A', 'D', 'G', 'G', 'D', 'A', 'D', 'D7', 'G', 'Gm', 'D']"
