,name,author,link,lyrics,chords
0,Campus,Vampire Weekend,https://tabs.ultimate-guitar.com/tab/vampire-weekend/campus-chords-717107,"Then I see you, you're walking 'cross the campus
Cruel professor studying romances
How am I supposed to pretend
I never want to see you again
How am I supposed to pretend
I never want to see you again
Then I see you, you're walking 'cross the campus
Cruel professor studying romances
How am I supposed to pretend
I never want to see you again
How am I supposed to pretend
I never want to see you again
","['G', 'D', 'Am', 'Cmaj', 'G', 'D', 'Am', 'Cmaj', 'G', 'D', 'Cmaj', 'G', 'D', 'Cmaj', 'G', 'D', 'Cmaj', 'G', 'D', 'Cmaj', 'G', 'D', 'Am', 'Cmaj', 'G', 'D', 'Am', 'Cmaj', 'G', 'D', 'Cmaj', 'G', 'D', 'Cmaj', 'G', 'D', 'Cmaj', 'G', 'D', 'Cmaj']"
1,Bukowski,Modest Mouse,https://tabs.ultimate-guitar.com/tab/modest-mouse/bukowski-chords-744784,"Woke up this morning and it seemed to me, that every night turns out to be 
a little bit more like Bukowski. And yeah, I know he's a pretty good read. 
But God who'd wanna be? God who'd wanna be such an asshole? 
God who'd wanna be? God who'd wanna be such an asshole?
Well we sat on the edge of the river, the crowd screamed ""Sacrifice the liver!""   
If God takes life, he's an Indian giver. So tell me now why you'll tell me never. 
Who would wanna be? Who would wanna be such a control freak? Well who would 
wanna be? Who would wanna be such a control freak?
","['Cm', 'Bb', 'Ab', 'Cm', 'Bb', 'Ab', 'Cm', 'Bb', 'Ab', 'Cm', 'Bb', 'Ab', 'Cm', 'Bb', 'Ab', 'Cm', 'Bb', 'Ab']"
2,The Best Ever Death Metal Band In Denton,The Mountain Goats,https://tabs.ultimate-guitar.com/tab/the-mountain-goats/the-best-ever-death-metal-band-in-denton-chords-778906,"The best ever death metal band out of Denton
were a couple of guys, who'd been friends since grade school.
One was named Cyrus, and the other was Jeff
and they practiced twice a week in Jeff's bedroom.
The best ever death metal band out of Denton
         never settled on a name.
But the top three contenders, after weeks of debate,
were Satan's Fingers, and The Killers, and The Hospital Bombers.
Jeff and cyrus believed in their hearts they were headed
for stage lights and Learjets, and fortune and fame.
So in script that made prominent use of a pentagram,
they stenciled their drumheads and guitars with their names.
This was how Cyrus got sent to the school 
where they told him he'd never be famous.
And this was why Jeff, 
in the letters he'd write to his friend,
helped develop a plan to get even.
When you punish a person for dreaming his dream,
don't expect him to thank or forgive you.
The best ever death metal band out of Denton
will in time both outpace and outlive you.
Hail Satan! Hail Satan tonight!
Hail Satan! Hail, hail!
","['D', 'G', 'A', 'D', 'G', 'A', 'D', 'G', 'A', 'D', 'G', 'A', 'D', 'G', 'A', 'D', 'G', 'A', 'D', 'G', 'A', 'G', 'A', 'D', 'G', 'G', 'A', 'D', 'G', 'D', 'G', 'A', 'D', 'G', 'A', 'D', 'D', 'G', 'A', 'D', 'D', 'G', 'A', 'D']"
3,Hum Hallelujah,Fall Out Boy,https://tabs.ultimate-guitar.com/tab/fall-out-boy/hum-hallelujah-chords-642555,"It's all a game of this or that, now versus then
better off against worse for wear
And you’re someone who knows someone who knows someone I once knew
And I just want to be a part of this
The road outside my house is paved with good intentions
Hired a construction crew, 'cause it's hell on the engine 
You are the dreamer and we are the dream.
So hum hallelujah,
I thought I loved you
It was just how you looked in the light.
A teenage vow in a parking lot
""Till tonight do us part""
I sing the blues and swallow them too
My words are my faith to hell with our good name.
A remix of your guts-your insides X-rayed
And one day we'll get nostalgic for disaster
we're a bull, your ears are just a china shop
I love you in the same way, there's a chapel in a hospital
One foot in your bedroom and one foot out the door
Sometimes we take chances, sometimes we take pills.
So hum hallelujah,
I thought I loved you
It was just how you looked in the light.
A teenage vow in a parking lot
""Till tonight do us part""
I sing the blues and swallow them too 
Hallelujah, hallelujah, hallelujah, hallelu...
Hallelujah, hallelujah, hallelujah, hallelu... 
A teenage vow in a parking lot
""Till tonight do us part""
I sing the blues and swallow them too
So hum hallelujah,
Just off the key of reason
I thought I loved you
It was just how you looked in the light.
A teenage vow in a parking lot (Hum hallelujah)
""Till tonight do us part""
Love in a parking lot (Hum hallelujah)
""Till tonight do us part""
A teenage vow in a parking lot
""Till tonight do us part""
I sing the blues and swallow them too
","['D', 'D', 'Bm/F#', 'G', 'D', 'D', 'Bm/F#', 'G', 'Bm/F#', 'A', 'D', 'G', 'Bm/F#', 'A', 'D', 'G', 'Bm/F#', 'A', 'D', 'G', 'D', 'G', 'D', 'Bm/F#', 'G', 'D', 'G', 'D', 'Bm/F#', 'G', 'D', 'D', 'Bm/F#', 'G', 'D', 'D', 'Bm/F#', 'G', 'Bm/F#', 'A', 'D', 'G', 'Bm/F#', 'A', 'D', 'G', 'Bm/F#', 'A', 'D', 'G', 'D', 'G', 'D', 'Bm/F#', 'G', 'D', 'G', 'D', 'Bm/F#', 'G', 'D', 'D', 'Bm/F#', 'A', 'G', 'D', 'Bm/F#', 'A', 'G', 'D', 'G', 'D', 'Bm/F#', 'D', 'G', 'D', 'Bm/F#', 'G', 'D', 'G', 'D', 'D', 'G', 'D', 'G', 'D', 'Bm/F#', 'G']"
4,Brothers On A Hotel Bed (ver 4),Death Cab for Cutie,https://tabs.ultimate-guitar.com/tab/death-cab-for-cutie/brothers-on-a-hotel-bed-chords-813832,"You may tire of me,
As our December sun is setting,
No longer easy on the eyes
But these wrinkles masterfully disguise,
The youthful boy below...
  Who turned your way and saw
Something he was not looking for:
  But now he lives inside
Someone he does not recognize,
When he catches his reflection on accident
  On the back of a motor bike
With your arms outstretched trying to take flight
  But even at our swiftest speed
We couldn't break from the concrete
In the city where we still reside...
  And I have learned
That even landlocked lovers yearn 
  Cause now we say goodnight
From our own separate sides,
Like brothers on a hotel bed...
   Like brothers on a hotel bed....
   Like brothers on a hotel bed...
   Like brothers on a hotel bed...
 You may tire of me,
As our December sun is setting,
","['Fmaj7', 'Am', 'C', 'Fmaj7', 'Fmaj7', 'Am', 'C', 'Fmaj7', 'G', 'Fmaj7', 'Am', 'C', 'Fmaj7', 'Fmaj7', 'Am', 'C', 'Fmaj7', 'G', 'Fmaj7', 'Fmaj7', 'Am', 'C', 'Fmaj7', 'Fmaj7', 'Am', 'C', 'Fmaj7', 'G', 'Fmaj7', 'Am', 'C', 'Fmaj7', 'Fmaj7', 'Am', 'C', 'Fmaj7', 'G', 'C', 'Fmaj7', 'C', 'Fmaj7', 'C', 'Fmaj7', 'C', 'G', 'Fmaj7', 'Am', 'C', 'Fmaj7']"
5,When You Look Me In The Eyes (ver 5),Jonas Brothers,https://tabs.ultimate-guitar.com/tab/jonas-brothers/when-you-look-me-in-the-eyes-chords-695153,"If the heart is always searching
Can you ever find a home?
I've been looking for that someone
I'll never make it on my own
Dreams can't take the place of loving you
There's gotta be a million reasons why it's true
When you look me in the eyes
And tell me that you love me
Everything's alright
When you're right here by my side
When you look me in the eyes
I catch a glimpse of heaven
I find my paradise
When you look me in the eyes
How long will I be waiting
To be with you again?
I'm gonna say that I love you
In the best way that I can
I can't take a day without you here
You're the light that makes my darkness disappear
When you look me in the eyes
And tell me that you love me
Everything's alright
When you're right here by my side
When you look me in the eyes
I catch a glimpse of heaven
I find my paradise
When you look me in the eyes
Moving on
I start to realize
I can reach my tomorrow
I can hold my head up high
And it's all because you're by my side
When I hold you in my arms
I know that it's forever
I just gotta let you know
I never want to let you go
When you look me in the eyes
And tell me that you love me
Everything's alright
When you're right here by my side
When you look me in the eyes
I catch a glimpse of heaven
I find my paradise
When you look me in the eyes
","['G', 'A', 'Bm', 'A', 'G', 'A', 'Bm', 'A', 'Bm', 'A', 'G', 'A', 'D', 'A', 'Bm', 'A', 'G', 'A', 'D', 'A', 'Bm', 'A', 'G', 'A', 'D', 'G', 'A', 'Bm', 'A', 'G', 'A', 'Bm', 'A', 'Bm', 'A', 'G', 'A', 'D', 'A', 'Bm', 'A', 'G', 'A', 'D', 'A', 'Bm', 'A', 'G', 'A', 'D', 'Bm', 'F#/A#', 'D/A', 'E', 'G', 'A', 'A', 'D', 'A', 'Bm', 'A', 'G', 'A', 'D', 'A', 'Bm', 'A', 'G', 'A', 'D', 'A', 'Bm', 'A', 'G', 'A', 'D']"
6,No More Cloudy Days,Eagles,https://tabs.ultimate-guitar.com/tab/eagles/no-more-cloudy-days-chords-199310,"Sitting by a foggy window
Staring at the pouring rain
Falling down like lonely teardrops
Memories of love in vain
These cloudy days, make you wanna cry
It breaks your heart when someone leaves
And you don't know why
I can see that you've been hurting,
Maybe I've been lonely too
I've been out here lost and searching,
Looking for a girl like you
Now I believe the sun is gonna shine
Don't you be afraid to love again
Put your hand in mine
Baby, I would never make you cry
I would never make you blue
I would never let you down
I would never be untrue
I know a place where we can go
Where true love always stays,
There’s no more stormy nights,
No more cloudy days
I believe in second chances
I believe in angels, too
I believe in new romances
Baby, I believe in you
These cloudy days are coming to an end
And you don't have to be afraid
To fall in love again
Baby, I would never make you cry
I would never make you blue
I would never turn away
I would never be untrue
I know a place where we can go
Where true love always stays
There’s no more stormy nights,
No more cloudy days
(repeat and fade)
","['G', 'Cmaj7', 'Am', 'G', 'Cmaj7', 'Am', 'Bm7', 'Em', 'Am', 'Dsus4', 'D', 'Dsus2', 'D', 'Bm7', 'Em', 'Dsus4', 'D7', 'G', 'Cmaj7', 'Am', 'G', 'Cmaj7', 'Am', 'Bm7', 'Em', 'Am', 'Dsus4', 'D', 'Dsus2', 'D', 'Bm7', 'Em', 'Dsus4', 'D7', 'Cmaj7', 'Gmaj7', 'Cmaj7', 'Gmaj7', 'Em', 'B7', 'G', 'A', 'Dsus4', 'D', 'Dsus4', 'D', 'G', 'Cmaj7', 'Am', 'G', 'Cmaj7', 'Am', 'Bm7', 'Em', 'Am', 'Dsus4', 'D', 'Dsus2', 'D', 'Bm7', 'Em', 'Dsus4', 'D', 'Cmaj7', 'Gmaj7', 'Cmaj7', 'Gmaj7', 'Em', 'B7', 'G', 'A', 'Dsus4', 'D', 'Dsus4', 'D', 'G', 'Cmaj7', 'Am', 'G', 'Cmaj7', 'Am']"
7,Cant Stop Loving You (ver 3),Phil Collins,https://tabs.ultimate-guitar.com/tab/phil-collins/cant-stop-loving-you-chords-962684,"So you're leaving in the morning on the early train
I could say everything’s alright, and I could pretend and say goodbye
Got your ticket, got your suitcase, got your leaving smile
I could say that's the way it goes, and I could pretend and you won't know
That I was lying...
'Cause I can’t stop loving you, no I can't stop loving you
No I won't stop loving you, why should I?
We took a taxi to the station, not a word was said
And I saw you walk across the road, for maybe the last time I don't know
Feeling humble, heard the rumble on the railway track
And when I hear that whistle blow,
I'll walk away and you won’t know
That I'll be crying
'Cause I can’t stop loving you, no I can't stop loving you
No I won't stop loving you, why should I?
E__ven try - I'll always be here by your side
Why, why, why - I never wanted to say goodbye
Why even try - I'm always here if you change, change your mind
So you're leaving in the morning on the early train
I could say everything’s alright, and I could pretend and say goodbye
But that would be lying
'Cause I can’t stop loving you, no I can't stop loving you
No I won't stop loving you, why should I?
","['C', 'G', 'Am', 'Em', 'F', 'G', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'G', 'F', 'G', 'Am', 'G', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'Bb', 'F', 'C', 'G', 'Am', 'Em', 'F', 'G', 'F', 'G', 'C', 'G', 'Am', 'Em', 'F', 'G', 'F', 'G', 'Am', 'G', 'C', 'G', 'F', 'C', 'G', 'F', 'C', 'G', 'F', 'Bb', 'F', 'Dm', 'G', 'C', 'Dm', 'G', 'C', 'Dm', 'G', 'C', 'Bb', 'F', 'Db', 'Ab', 'Bbm', 'Fm', 'Gb', 'Ab', 'Gb', 'Ab', 'Bbm', 'Ab', 'Db', 'Ab', 'Gb', 'Db', 'Ab', 'Gb', 'Db', 'Ab', 'Gb', 'B', 'Gb']"
8,Life Is Wonderful,Jason Mraz,https://tabs.ultimate-guitar.com/tab/jason-mraz/life-is-wonderful-chords-207945,"It takes a crane to build a crane
It takes two floors to make a story
It takes an egg to make a hen
It takes a hen to make an egg
There is no end to what I'm saying
It takes a thought to make a word
And it takes some word to make an action
And It takes some work to make it work
It takes some good to make it hurt
It takes some bad for satisfaction
La la la la la la la life is wonderful
Ah la la la la la la life goes full circle
Ah la la la la la la life is wonderful
Al la la la la
It takes a night to make it dawn
And it takes a day to make you yawn brother
It takes some old to make you young
It takes some cold to know the sun
It takes the one to have the other
And It takes no time to fall in love
But it takes you years to know what love is
And It takes some fears to make you trust
It takes those tears to make it rust
It takes the dust to have it polished
Ha la la la la la la life is wonderful
Ah la la la la la la life goes full circle
Ah la la la la la la life is wonderful
It takes some silence to make sound
And It takes a loss before you found it
And It takes a road to go nowhere
It takes a toll to make you care
It takes a hole to make a mountain
Ah la la la la la la life is wonderful
Ah la la la la la la life goes full circle
Ah la la la la la la life is wonderful
Ah la la la la la la love is meaningful
Ah la la la la la la life is wonderful
Ah la la la la la la...
It is so wonderful
It is so wonderful
It is meaningful
It is wonderful
And meaningful
It goes full circle
Wonderful
Meaningful
Full Circle
Wonderful
","['Em', 'Am', 'C', 'C', 'G', 'Bm', 'Em', 'Am', 'C', 'C', 'G', 'Bm', 'Em', 'Am', 'D', 'G', 'F#', 'Em', 'Em', 'Am', 'D', 'Em', 'Am', 'C', 'C', 'G', 'B', 'Em', 'Am', 'C', 'C', 'G', 'B', 'Em', 'Am', 'D', 'G', 'F#', 'Em', 'Am', 'Em', 'Am', 'C', 'C', 'G', 'B', 'Em', 'Am', 'D', 'G', 'F#', 'Em', 'Am', 'D', 'G', 'F#', 'Em', 'Am', 'D', 'D', 'Em', 'Em', 'Em', 'Em', 'Em', 'Em', 'Em', 'Em', 'Em', 'Em']"
9,Sunrise,Ryan Bingham,https://tabs.ultimate-guitar.com/tab/ryan-bingham/sunrise-chords-1068019,"                                Here I go again
                                Straight up out the motel
                                Hock my guitar out of a pawn shop jail
                                If I quit, I'm just rolling the dice
                                Couldn't pass up the red beans and rice, singing
                                Oh,         my         my
                                See them girls shake their ass
                                Underneath the sunrise
                                Oh,         my         my 
                                Taste the sugar on their lips
                                Underneath that moonlight
                                Well I'm livin' in the desert with a one eyed dog
                                You can lead a blind man out of Viet  -  nam
                                Everybody's beggin, everybody wants a chance
                                Stuck in a storm, we'll do a rain dance 
                                I'm taking my chances
                                I'm taking my sins
                                Throwin' 'em down the hill and I'll watch 'em come around again
                                Watched 'em fall, watched 'em rise up to the sky
                                A hundred miles an hour across the river to the other side
","['A5', 'A3', 'A2', 'Asus2', 'A3', 'A2', 'A1', 'Asus2', 'A5', 'A3', 'A2', 'Asus2', 'A3', 'A2', 'A1', 'Asus2', 'E', 'Asus2', 'E', 'A1', 'A2', 'E', 'Asus2', 'E', 'A1', 'A2', 'A5', 'A3', 'A2', 'Asus2', 'A3', 'A2', 'A1', 'Asus2', 'A5', 'A3', 'A2', 'Asus2', 'A3', 'A2', 'A1', 'Asus2', 'A5', 'A3', 'A2', 'Asus2', 'A3', 'A2', 'A1', 'Asus2', 'A5', 'A3', 'A2', 'Asus2', 'A3', 'A2', 'A1', 'Asus2']"
