,name,author,link,lyrics,chords
0,Dont Let Your Chance Go By,Jeff Healey,https://tabs.ultimate-guitar.com/tab/jeff-healey/dont-let-your-chance-go-by-chords-2368177,"Well, in case you haven't noticed,
The girl's in love with you
But you just seem to ignore her,
Tell me what you tryin' to do
Instead of looking the other way,
You outta give her the eye
'Cause if she wants to love you,
Don't let your chance go by
Well, now look at her, man,
She got blue eyes and long blonde hair
And you know pretty girls like that,
You just don't see everywhere
Yeah, start cashin' in on your good fortune, boy
Go on and give her a try
'Cause if she wants to love you,
Don't let your chance go by
Well, I've known you for a long time,
You know I don't give no jive
And I know she's got some loving,
That'll help keep you alive
If you turn that poor little girl down,
You're gonna make her cry
Because if she wants to love you,
Don't let your chance go by
Yeah, if she wants to love you
Don't let your chance go by,
Yeah, she wants to love you
Don't let your chance go by
I say it again
don't let your chance go by
One more time!
Don't let your chance go by
","['E', 'G', 'G/B', 'A', 'G', 'E', 'E', 'G', 'G/B', 'A', 'G', 'E', 'D', 'G', 'A', 'E', 'G', 'G/B', 'A', 'G', 'E', 'E', 'G', 'G/B', 'A', 'G', 'E', 'E', 'G', 'G/B', 'A', 'G', 'E', 'D', 'G', 'A', 'E', 'G', 'G/B', 'A', 'G', 'E', 'E', 'G', 'G/B', 'A', 'G', 'E', 'E', 'G', 'G/B', 'A', 'G', 'E', 'D', 'G', 'A', 'E', 'G', 'G/B', 'A', 'G', 'E', 'E', 'G', 'G/B', 'A', 'G', 'E', 'E', 'G', 'G/B', 'A', 'G', 'E', 'E', 'G', 'G/B', 'A', 'G', 'E', 'E', 'G', 'G/B', 'A', 'G', 'E']"
1,River Of No Return,Jeff Healey,https://tabs.ultimate-guitar.com/tab/jeff-healey/river-of-no-return-chords-889583,"Well, you know you're gonna have to steal it,
if you want your cake and eat it, too
There is no one less believin'
than the guy who's been deceiving you
You got to pay the piper,
in the end you will be so much wiser
Got to use your best endeavor,
when you're kissing to be clever
'Cause it's a hard, hard lesson,
that you're gonna learn,
on the river of no return
You been burnin' all your bridges,
like a child with forty wishes,
on the river of no return
Well, you got your finger, on the trigger,
it would help if you was-a bigger
Now, it's not easy, 
I know, it's not easy
'Cause it's a hard, hard lesson,
that you're gonna learn,
on the river of no return
You been burnin' all your bridges,
like a child with forty wishes,
on the river of no return
Yes, you have done your share of cheatin',
now you're gonna have to take a beatin'
You been acting like a sucker
Now, you're gonna have to suffer, yeah
'Cause it's a hard, hard lesson,
that you're gonna learn,
on the river of no return
You been burnin' all your bridges,
like a child with forty wishes,
on the river of no return
","['C#m', 'G#m', 'C#m', 'G#m', 'F#', 'C#m', 'G#m', 'F#', 'G#m', 'E', 'F#', 'G#m', 'F#', 'B', 'C#', 'G#m', 'G#m', 'F#', 'B', 'C#', 'G#', 'C#m', 'G#m', 'F#', 'G#m', 'E', 'F#', 'G#m', 'F#', 'B', 'C#', 'G#m', 'G#m', 'F#', 'B', 'C#', 'G#m', 'C#m', 'G#m', 'F#', 'G#m', 'E', 'F#', 'G#m', 'F#', 'B', 'C#', 'G#m', 'G#m', 'F#', 'B', 'C#', 'G#m']"
2,Sunshine Life For Me,Ringo Starr,https://tabs.ultimate-guitar.com/tab/ringo-starr/sunshine-life-for-me-chords-94528,"IT'S A SUNSHINE LIFE FOR ME,
THERE'S A GOOD LIFE HAD FOR FREE,
IT'S A SUNSHINE LIFE FOR ME,
THERE'S A GOOD LIFE HAD AT SEA,
NOW MOST FOLKS JUST BORE ME,
AND IT'S A SUNSHINE...
AND IT'S A SUNSHINE,
","['E', 'E', 'E', 'E', 'E', 'E', 'E']"
3,Cou-Cou,Django Reinhardt,https://tabs.ultimate-guitar.com/tab/django-reinhardt/cou-cou-chords-860093,"Coucou, les rosiers fleurissent
Coucou, les rameaux verdissent
Coucou, voici le printemps
Coucou, le beau soleil brille
Coucou, et les yeux des filles
Coucou,en font tout autant
Que faites-vous, que faites-vous
encore à sommeiller
Eveillez-vous, Eveillez-vous,
le monde est transformé
Coucou, ouvrez moi bien vite
Coucou, mon coeur vous invite
Coucou, il faut nous aimer
Cadillac
Cadillac
Coucou bonjour mon amour
     Cadilla dilla dilla
Cadillac
Cadillac
Coucou veut dire bonjour
Que faites-vous, que faites-vous
encore à sommeiller
Eveillez-vous,Eveillez-vous
le monde est transformé
Coucou, ouvrez-moi bien vite
Coucou, mon coeur vous invite
Coucou, il faut nous aimer
","['C', 'Am', 'F', 'G7', 'C', 'Am', 'F', 'G7', 'C7', 'F', 'D7', 'G7', 'C', 'Am', 'F', 'G7', 'C', 'Am', 'F', 'G7', 'C', 'Am', 'Dm', 'G7', 'C', 'Am', 'F', 'G7', 'C7', 'F', 'D7', 'G7', 'C', 'Am', 'F', 'G7']"
4,Douce Ambience,Django Reinhardt,https://tabs.ultimate-guitar.com/tab/django-reinhardt/douce-ambience-chords-489828," //     /     /      /      /       /        /      //
  //      //     //
 //     /     /      /      /       /        /      //
  //      /     /     //
8bts     ////      /     /      /     /      /
  //     /     /      /      /       /        /      //
  //      /     /      /
","['Cm6', 'Ab7', 'D7', 'Cm6', 'A7', 'D7', 'Gm6', 'D6', 'Bm6', 'Cm6', 'A7', 'D7', 'Gm6']"
5,Douce Ambience (ver 2),Django Reinhardt,https://tabs.ultimate-guitar.com/tab/django-reinhardt/douce-ambience-chords-1429295,"//     //     //    //     //     //     //     //
 //     /     /      /      /       /        /      //
  //      //     //
 //     /     /      /      /       /        /      //
  //      /     /     //
////////     ////      /     /      /     /      /
  //     /     /      /      /       /        /      //
  //      /     /      /
","['D7', 'EbMaj7', 'E7', 'F6', 'Bb6', 'EbMaj7', 'Am7', 'D7', 'Gm6', 'Am6', 'D7', 'Gm6', 'Am6', 'Bm6', 'Cm6', 'Ab7', 'D7', 'Gm6', 'Am6', 'D7', 'Gm6', 'Am6', 'Bm6', 'Cm6', 'A7', 'D7', 'Gm6', 'Abm6', 'Am6', 'F6', 'E6', 'Eb6', 'Db6', 'D6', 'Gm6', 'Am6', 'D7', 'Gm6', 'Am6', 'Bm6', 'Cm6', 'A7', 'D7', 'Gm6']"
6,Get You Back,Shawn Lane,https://tabs.ultimate-guitar.com/tab/shawn-lane/get-you-back-chords-2321453,"I see signs
I hear things
The rest is a mystery
You look for love in the stupidest places
And you know where you ought to be
You wait around until you know what you want
I'll just wait around again
All of the traffic to bear
You can take years
You can make me cry tears
You know I'll get you back in the end
You can break hearts
Finish what you start
But you know I'll get you back in the end
Where else can you go
To find somebody you know will be there
Next time you need a friend
I'll take you anywhere you can't
That was never hard to do
Your favourite lovers always stay the same
All I ever wanted was you
All I ever wanted
You can take years
You can make me cry tears
You know I'll get you back in the end
You can break hearts
Finish what you start
But you know I'll get you back in the end
One of these days or nights
Occasionally
You will be alone alright
You'll wish it was me
You're not too worried and you let it be known
You think it's good for you
But don't forget you've told the future before
And you remember how it came true
You remember how it came true
You can take years
You can make me cry tears
You know I'll get you back in the end
You can break hearts
Finish what you start
But you know I'll get you back in the end
Where else can you go
To find somebody you know will be there?
Next time you need a friend
(repeat and fade)
","['E', 'A', 'B', 'C#m', 'E', 'A', 'B', 'C#m', 'E', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'C#m', 'A', 'E', 'C#m', 'A', 'E', 'C#m', 'A', 'E', 'A', 'B', 'E', 'A', 'B', 'C#m', 'E', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'E', 'A', 'B', 'C#m', 'E', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'A', 'B', 'C#m', 'B', 'C#m', 'A', 'E', 'C#m', 'A', 'E', 'C#m', 'A', 'E', 'A', 'B', 'C#m']"
7,Moon In June,Soft Machine,https://tabs.ultimate-guitar.com/tab/soft-machine/moon-in-june-chords-1456401,"On a dilemma
Between what your laid and lord just wants.
Between your thighs, you feel a sensation.
How one can resist this temptation
Ah aaaaaaaaaa I got my bond.
You got your man 
Someone else needs me.
5/4                     6/4
Now I get up to open my eyes, open my heart
Now I'm with you for we decide how far to go
And thinking of time to do it now
And if its love l offer you and its not for me
          4/4
If we lie down for a while, just for a while
The only thing I want is thee.
You're all the thing, all I need.
I want you     
That's as now we've agreed that we did what we need
And all the things I must need is wanting
I realized when I saw you last we've been together now and then
Now I know how it feels, from my head to my heels
This at the horns of my dilemma, oh wait a minute
Down..................
Up....................
Living can be lovely here in New York State
Ah, but I wish that I were home
And I wish I were home    again
Back home again, home again, back home again, home again
There are places and people here 
That I'm so glad to have seen
Ah, but I miss the trees
And I wish I were home    again, back home again, home again, back home again
The sun shines here all summer
It's nice 'cause you can get quite brown
Ah, but I miss the rain-ticky tacky ticky
And I wish that I were home again
Home again, home again, home again, home again
                                3/4
Living is easy here in New York State, State
Ah, but I wish that I were home again
Just before we go on to the next part of our song
Let's all make sure we've got the time
3 o'clock in school, before the faction
Background noise, peolpe sleeping and teaching
That's alright by me , don't think that I'm complaining
After all it's only pleasure time, isn't it?
Now I love your eyes
See    how the time flies
She's been learning to hate but it is just to late for me
If there's a song without love
it just wasn't enough for me
Funny how the spirit dies
Remember how a distance can tell lies
Nananananannanananananananana
I see her eyes and it leads to despises on you
You're awful nice to me
And I'm sure you can't see where they're getting me
She's doing her face just as if it's a race 
That you win, that you win
She just can't understand
That you'll be everything just to get her
So  before this feeling dies
Remember that a distance tells us lies
(repeat 4 times, leads to Bm7)
(leads to Free Improvisation)
","['E7', 'E7', 'Bm7/D', 'E7', 'E7', 'E7', 'FM7', 'E7', 'FM7', 'E7', 'F7', 'B', 'C#m7', 'Fdim', 'Bm7', 'C#m7', 'Fdim', 'Bm7', 'C#m7', 'Fdim', 'Bm7', 'C', 'GM7/D', 'F#m7', 'GM7/D', 'F#m7', 'B', 'Bm7', 'E', 'G', 'B', 'Bm7', 'E', 'GM7', 'Bm7/F#', 'Fdim', 'Em7', 'D7', 'Em7', 'D7', 'Dm7', 'B', 'GM7', 'Bm7/F#', 'Fdim', 'Em7', 'D7', 'Em7', 'D7', 'Bm7', 'B', 'C#m7', 'G7', 'C#m7', 'G7', 'CM7', 'FM7', 'E7', 'Am7', 'G7', 'AbM7', 'AbM7', 'Fm7', 'Gm7', 'CM7', 'Bb7', 'CM7', 'Bb', 'CM7', 'FM7', 'E7', 'Am7', 'G7', 'AbM7', 'AbM7', 'Fm7', 'Gm7', 'CM7', 'Bb7', 'CM7', 'Bb7', 'CM7', 'FM7', 'E7', 'Am7', 'Gm7', 'AbM7', 'AbM7', 'Fm7', 'Gm7', 'Bb7', 'Bb7', 'H', 'CM7', 'FM7', 'E7', 'Am7', 'G7', 'AbM7', 'Gm7', 'AbM7', 'Gm7', 'AbM7', 'Gm7', 'AbM7', 'Gm7', 'Bm7', 'FM7', 'E7', 'FM7', 'E7', 'GM7', 'F#7', 'B7', 'Bm7', 'D#dim', 'Am7', 'Bm7', 'D#dim', 'Am7', 'E7', 'Am7', 'D7', 'Dm', 'GM7', 'CM7', 'GM7', 'E7', 'Am7', 'D7', 'Dm', 'GM7', 'CM7', 'GM7', 'E7', 'CM7', 'D7', 'Em7', 'CM7', 'Bm7', 'AM7', 'G#m', 'G7', 'F#m7', 'G7', 'Am7', 'D7', 'Dm', 'GM7', 'CM7', 'GM7', 'E7', 'Am7', 'D7', 'Dm', 'CM7', 'GM7', 'CM7', 'E7', 'CM7', 'D7', 'Em7', 'CM7', 'Bm7', 'CM7', 'E7', 'E7', 'Ab7', 'Ab7', 'Gm7', 'Ab7', 'Em', 'CM7', 'Em', 'CM7']"
8,Am I The Same Girl,Swing Out Sister,https://tabs.ultimate-guitar.com/tab/swing-out-sister/am-i-the-same-girl-chords-928888,"Why don't you stop , And look me over , (look me over).
Am I the same girl you used to know?
But we were much too young, to love each other this way.
Now we are no longer too young to love each other this way.
","['Bbmaj7', 'Cm7', 'Cm7/F', 'Bbmaj7', 'Cm7', 'Cm7/F', 'Ebmaj7', 'Dm7', 'Cm7', 'Cm7/F', 'Ebmaj7', 'Dm7', 'Cm7', 'Cm7/F']"
9,Banana Split For My Baby,Louis Prima,https://tabs.ultimate-guitar.com/tab/louis-prima/banana-split-for-my-baby-chords-879156,"Banana split for my baby, a glass of plain water for me.
Banana split for my baby, a glass of plain water for me.
Dispenser man, if you please, serve my chick a mess of calories.
Banana split for my baby, a glass of plain water for me.
","['C', 'A', 'D', 'G', 'C', 'C', 'A', 'D', 'G', 'C', 'A', 'F', 'G', 'C', 'A', 'D', 'G', 'C']"
