,name,author,link,lyrics,chords
0,Best Mistake (ver 2),Ariana Grande,https://tabs.ultimate-guitar.com/tab/ariana-grande/best-mistake-chords-1510987,"How soon do we forget how we felt
Dealing with emotions that never left
Playing with the hand that we were dealt in this game
Maybe I'm the sinner, and not a saint
Gotta stop pretending what we ain't
Why we pointing fingers anyway? We're all the same
Break up, make up
Total waste of time
Can we please make up our minds?
And stop acting like we're blind
Cause if the water dries up
And the moon stops shining
Stars fall, and the world goes blind boy
You know I'll be savin' my love for you, for you
Cause you're the best mistake I've ever made
But we hold on, hold on
There's no pot of gold in the rainbows we chase
But we hold on, hold on
I guess times wasting, tick-tocking lip locking
How can we keep the feelings fresh how do we zip lock them
Wear your heart up on your sleeves so watch for pickpockets
I guess to go the distance we might need to pit stop it
Hold up, hold love, I know love can be a beach with no shore
I done count to ten lost my temper and went back to four
I know sometimes it's hard to realize I'm the man that you need
I had a dream we branched out started a family tree
And I feel like everything we do is overdue
You asked why I love your mom so much 'cause she's an older you
I wish you were happy I guess that's the one thing I should be providing
Ain't no number twos we both ones and ones the oddest
Couple only human except you, you a goddess
Only lying to you when I lie you down, just being honest
When you start as friends it's hard to say you're never going back
If I'm not the one then I'm the best mistake you ever had
Break up, make up
Total waste of time
Can we please make up our minds?
And stop acting like we're blind
Cause if the water dries up
And the moon stops shining
Stars fall, and the world goes blind boy
You know I'll be savin' my love for you, for you
Cause you're the best mistake I've ever made
But we hold on, hold on
There's no pot of gold in the rainbows we chase
But we hold on, hold on
You're, you're, you're you're, mmm
I be savin' my love for you, for you
You're, you're, you're you're, mmm
I be savin' my love for you, for you
","['Am', 'Am#7', 'Gm', 'F', 'Esus', 'E', 'Am', 'Am#7', 'Gm', 'F', 'Esus', 'E', 'Am', 'Am#7', 'Gm', 'F', 'Esus', 'E', 'Am', 'Am#7', 'Gm', 'F', 'Esus', 'E', 'Am', 'Am#7', 'Gm', 'F', 'Esus', 'E', 'Am', 'Am#7', 'Gm', 'F', 'Esus', 'E', 'Am', 'Am#7', 'Gm', 'F', 'Esus', 'E', 'Am', 'Am#7', 'Gm', 'F', 'Esus', 'E', 'Am', 'Am#7', 'Gm', 'F', 'Esus', 'E', 'Am', 'Am#7', 'Gm', 'F', 'Esus', 'E', 'Am', 'Am#7', 'Gm', 'F', 'Esus', 'E', 'Am', 'Am#7', 'Gm', 'F', 'Esus', 'E', 'Am', 'Am#7', 'Gm', 'F', 'Esus', 'E', 'Am', 'Am#7', 'Gm', 'F', 'Esus', 'E', 'Am', 'Am#7', 'Gm', 'Am', 'F', 'Esus', 'E', 'Am', 'Am#7', 'Gm', 'Am', 'F', 'Esus', 'E']"
1,My Speed (ver 2),Lake Street Dive,https://tabs.ultimate-guitar.com/tab/lake-street-dive/my-speed-chords-1753205,"Get out of bed ‘cause i swear you’ll see the death of me
conﬁned inside this space; it’s an empty April curse
in the room under the stairs in this waterlogged land
where I’m the only one on hand
Let’s call a cab, ‘cause i swear you’ll see the death of me
we’re ﬂoating yellow ghosts without thoughts and no remorse
in the room under the stairs in this waterlogged land
where I’m the only one on hand
You’re my speed just like staying in the lines,
and I’m your speed just like turpentine and limes
","['Am', 'Bb', 'Dm', 'Dm/C', 'Dm/B', 'C', 'C7', 'Am', 'A', 'Asus4', 'Bb', 'C', 'F', 'F/E', 'Dm', 'Dm/C', 'Bb', 'Bb/A', 'Bb', 'Bb/A', 'C', 'Am', 'Bb', 'Dm', 'Dm/C', 'Dm/B', 'C', 'C7', 'Am', 'A', 'Asus4', 'Bb', 'C', 'F', 'F/E', 'Dm', 'Dm/C', 'Bb', 'Bb/A', 'Bb', 'Bb/A', 'C', 'F', 'F/E', 'Dm', 'Dm/C', 'Bb', 'Bb/A', 'Bb', 'Bb/A', 'C', 'F', 'F/E', 'Dm', 'Dm/C', 'Bb', 'Bb/A', 'Bb', 'Bb/A', 'C']"
2,Zero,Chris Brown,https://tabs.ultimate-guitar.com/tab/chris-brown/zero-chords-1827547,"I thought we were great
You took your love back and ran us off track
I counted all the days
'Til you would come back, how stupid was that?
Now you're missing what we used to have
Guess the vodka brought the feeling back
I was caught up in the aftermath
But now, if you really wanna know
Ask how many nights I've been thinking of you, zero, zero
Gave a hundred percent but all I got from you, zero, zero
I thought you were the one, then you turned and to run
Found somebody better, like I never met ya
Ask how many nights I've been thinking of you, zero, zero
(Zero, zero, zero, zero, zero, zero, zero, zero, zero, zero, zero)
That’s how many fucks I give, oh
Wake up with a dime
Get up to no good, get up and you could
Go out, free our minds
Like you never would, never understood
Now you're missing what we used to have
You been creeping 'round my Instagram
I was caught up in the aftermath
But now, if you really wanna know
Ask how many nights I've been thinking of you, zero, zero
Gave a hundred percent but all I got from you, zero, zero
I thought you were the one, then you turned and to run
Found somebody better, like I never met ya
Ask how many nights I've been thinking of you, zero, zero
(Zero, zero, zero, zero, zero, zero, zero, zero, zero, zero, zero)
That’s how many fucks I give
Broke back then but a nigga rich now
Got dollars, got euros, got yen, I got pounds, zeros, zeros
Calling me up cause your bad check bounced
My new chick one hundred, and she got her own dinero, zero
You think I'm thinking 'bout your ass?
Ask how many nights I've been thinking of you, zero, zero
Gave a hundred percent but all I got from you, zero, zero
I thought you were the one, then you turned and to run
Found somebody better, like I never met ya
Ask how many nights I've been thinking of you, zero, zero
(Zero, zero, zero, zero, zero, zero, zero, zero, zero, zero, zero)
That’s how many fucks I give
(Zero, zero, zero, zero, zero, zero, zero, zero, zero, zero, zero)
That’s how many fucks I give
","['Am', 'G', 'Am', 'G', 'Am', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'Am', 'G', 'F', 'Gm', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'Gm', 'Am', 'Am', 'G', 'Am', 'G', 'Am', 'G', 'F', 'Gm', 'F', 'G', 'Am', 'G', 'F', 'G', 'F', 'Gm', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'Gm', 'Am', 'Am', 'G', 'F', 'Am', 'G', 'F', 'Gm', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'Gm', 'Am', 'Am', 'G', 'F', 'Gm', 'Am']"
3,I Dont Wanna See You With Her (ver 2),Maria Mena,https://tabs.ultimate-guitar.com/tab/maria-mena/i-dont-wanna-see-you-with-her-chords-1825612,"It's a small town, word gets around
And travels in circles, through hoops over hurdles
Everyone's careless, they talk about our mess
They don't care how it hurts me, must think it was easy
They say you have a new love, I'm happy for you, love
I just don't wanna meet her, are you gonna keep her?
Cause I don't wanna see you with her, I don't wanna see her face
Resting in your embrace, her feet standing in my place
I don't wanna see you moved on, I don't think I'm that strong
It hasn't been that long, since I was the one in your arms
I don't like being sober, that's when it hits me it's over
Although it was my choice, I can't shake your calm voice
Saying you found one, that makes you feel as strong
And helps you through hard times, cause that job was once mine
They say you have a new love, I'm happy for you, love
I just don't wanna meet her, are you gonna keep her?
Cause I don't wanna see you with her, I don't wanna see her face
Resting in your embrace, her feet standing in my place
I don't wanna see you moved on, I don't think I'm that strong
It hasn't been that long, since I was the one in your arms
I don't wanna see you with her
I don't wanna see you with her
Cause I don't wanna see you with her, I don't wanna see her face
Resting in your embrace, her feet standing in my place
I don't wanna see you moved on, I don't think I'm that strong
It hasn't been that long, since I was the one in your arms
Cause I don't wanna see you with her
","['F', 'Am', 'Dm', 'F', 'Am', 'Dm', 'F', 'Am', 'Dm', 'Bb', 'F', 'Am', 'Dm', 'Bb', 'F', 'Am', 'Dm', 'Bb', 'F', 'Am', 'Dm', 'F', 'Am', 'Dm', 'F', 'Am', 'Dm', 'Bb', 'F', 'Am', 'Dm', 'Bb', 'F', 'Am', 'Dm', 'Bb', 'Gm', 'Bb', 'F', 'C', 'Gm', 'Bb', 'F', 'C', 'F', 'Am', 'Dm', 'Bb', 'F', 'Am', 'Dm', 'Bb', 'F', 'Am', 'Dm']"
4,Twenty Eight,The Weeknd,https://tabs.ultimate-guitar.com/tab/the-weeknd/twenty-eight-chords-1217771,"This house is not a home to you
But you decide to go ahead and lay down, lay down             
There are no words to describe the depth of your indifference            
Cause I see you're here to stay            
Should have known to pick my fate
I'm so wrong, I'm so wrong (To let you in my)
To let you in my home (Now you know where I sleep)
Now you know where I sleep (Never felt so damn weak)
Ohhhhhhh Ohhhhhhhhhhhhh
","['Am', 'Em', 'Dm', 'F', 'Am', 'Em', 'Dm', 'F', 'Am', 'Em', 'Dm', 'F', 'Am', 'Em', 'Dm', 'F']"
5,Ordinary Things,Lukas Graham,https://tabs.ultimate-guitar.com/tab/lukas-graham/ordinary-things-chords-1142669,"You felt that I could change
But I’m all the same, girl I’m all the same
You thought that you could work me out
Ooh, it’s just that all these ordinary things, ordinary things,
Seem to haunt you, makin’ me wanna dump you.
Just that all these ordinary things, ordinary things
Seems a lot, why don’t we just break it off.
You had me in your hand, I don’t understand
Why you trippin’, cause I ain’t slippin’
Baby I’m your man,
You track successively, you can’t leave me be
I don’t ask you what you’re up to,
You have got to stop these things,
I need someone with confidence.
Confidence ain’t buying rings
Cause I don’t need you to tell me what to do
It’s all up in your head,
Ooh, it’s just that all these ordinary things, ordinary things,
Seem to haunt you, makin’ me wanna dump you.
Just that all these ordinary things, ordinary things
Seems a lot, why don’t we just break it off.
We’ve got to end this show, I’ve got to let you go
I can’t stand it, you’re too demanding
You put it in my head, like a bullet made of lead
Baby stop it, you’ve got to drop it.
You should know what happens when you say them things you say
Your value falls, girl it falls
Don’t blame me for shit I didn’t do,
You have got to stop these things,
I need someone with confidence.
Confidence ain’t buying rings
Cause I don’t need you to tell me what to do
It’s all up in your head,
And I ain't sorry that all these ordinary things, ordinary things,
Seem to haunt you, makin’ me wanna dump you.
Just that all these ordinary things, ordinary things
Seems a lot, why don’t we just break it off.
","['A', 'G#7', 'C#m', 'A', 'B', 'C#m', 'C#m', 'A', 'G#7', 'C#m', 'A', 'G#7', 'C#m', 'A', 'G#7', 'C#m', 'C#m', 'C#m', 'A', 'A', 'G#7', 'C#m', 'C#m', 'A', 'G#7', 'C#m', 'A', 'G#7', 'C#m', 'C#m', 'A', 'G#7', 'C#m', 'A', 'G#7', 'C#m', 'A', 'G#7', 'C#m', 'A', 'G#7', 'C#m', 'C#m', 'A', 'G#7', 'C#m', 'A', 'G#7', 'C#m', 'A', 'G#7', 'C#m', 'A', 'G#7', 'C#m', 'C#m', 'A', 'G#7', 'C#m', 'A', 'G#7', 'C#m']"
6,Left Right Left,Charlie Puth,https://tabs.ultimate-guitar.com/tab/charlie-puth/left-right-left-chords-1807258,"Oh I been hurting lately
I’m down on all my luck
Sometimes there’s no one there by your side
I don’t deserve this baby
But I know that I can’t give up
Tough times I just take them in stride
Mmm, I’m almost there, only one more step
Left, right, left, right, left
  I’m moving on, I got no regrets
Left, right, left, right, left
I said times are changing, tell me how can I keep up
Every time that I turn around there’s a wall
But I’m climbing daily, until I see the top
And I get up right after every fall
When you’re brokenhearted
And you’re lost without me
Yeah you gotta walk alone, yeah it’s true
Flash every smile cause I’ve been lost for miles
I know you’ve felt this way before too
Mmm, I’m almost there, only one more step
Left, right, left, right, left
  We're moving on, we got no regrets
Left, right, left, right, left
Woah, left, right, left, right, left
Woah, left, right, left, right, left
Woah, we’re almost there only one more   step
Woah, left, right, left, right, left
Mmm I know it looks like it’s too far
But it’s nothing compared to how far we’ve come
  Walking down this boulevard
When the darkest times come right before the sun
We’re almost there baby one more step
Woah, left, right, left, right, left
   We’re moving forward and there’s no regrets
Woah, left, right, left, right, left
Woah, left, right, left, right, left
Woah, we’re almost there only one more   step
Woah, left, right, left, right, left
Woah, left, right, left, right, left
Woah, left, right, left, right, left
Woah, we’re almost there only one more   step
Woah, left, right, left, right, left
","['D', 'E7', 'G', 'Em', 'D', 'D', 'E7', 'G', 'Em', 'D', 'D', 'E7', 'G', 'Em', 'D', 'D', 'E7', 'G', 'Em', 'D', 'D', 'E7', 'G', 'Em', 'D', 'D', 'E7', 'G', 'Em', 'D', 'D', 'E7', 'G', 'Em', 'D', 'D', 'E7', 'G', 'Em', 'D', 'D', 'E7', 'G', 'Em', 'D', 'D', 'E7', 'G', 'Em', 'D', 'D', 'A', 'F#', 'Bm', 'G', 'D', 'A', 'D', 'A', 'F#', 'Bm', 'G', 'D', 'Em', 'D', 'G', 'A', 'Bm', 'A', 'G', 'D/F#', 'Em', 'A', 'Bbdim7', 'Bm', 'A', 'G', 'D', 'E7', 'G', 'Em', 'D', 'D', 'E7', 'D', 'A', 'F#', 'Bm', 'G', 'D', 'A', 'D', 'A', 'F#', 'Bm', 'G', 'D', 'Em', 'D', 'D', 'A', 'Bbdim7', 'Bm', 'G', 'D', 'A', 'D', 'A', 'Bbdim7', 'Bm', 'G', 'D', 'Em', 'D']"
7,Suffer,Charlie Puth,https://tabs.ultimate-guitar.com/tab/charlie-puth/suffer-chords-1792876,"Detonate, detonator
Baby, oh, you blow my mind
You tell me wait, wait on ya
But baby, I can't wait all night
I go through pictures you send my phone
Oh, stop tempting me
You know what I want
I wanna make, wanna make love
Girl, I can't lie
I'm just a sucker
For a cold-hearted lover
You make me suffer
You make me suffer
Don't keep me waiting
You should come over
Don't make me suffer
Don't make me suffer
So here we go, go again
It's like I'm caught under your spell
You're wearing black, black magic
Well baby, don't wear nothing else
When I open up this door
Don't you play
Ain't no other man gon' make you feel the same
I wanna make, wanna make love
Girl, I can't lie
I'm just a sucker
For a cold-hearted lover
You make me suffer
You make me suffer
Don't keep me waiting
You should come over
Don't make me suffer
Don't make me suffer
I hate it when you get your way
But we love, yeah, we love it, baby
Some things don't ever change
You make me suffer, baby
You, oh
I'm just a sucker
For a cold-hearted lover
You make me suffer
You make me suffer
Don't keep me waiting
You should come over
Don't make me suffer
Don't make me suffer
","['Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am', 'Gm', 'A', 'Dm', 'Am', 'Dm', 'Am', 'Gm', 'A', 'Dm', 'Am', 'Dm', 'Am', 'Gm', 'A', 'Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am', 'Gm', 'A', 'Dm', 'Am', 'Dm', 'Am', 'Gm', 'A', 'Dm', 'Am', 'Dm', 'Am', 'Gm', 'A', 'Gm', 'Am', 'Gm', 'A', 'Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am', 'Gm', 'A', 'Dm', 'Am', 'Dm', 'Am', 'Gm', 'A', 'Dm', 'Am', 'Dm', 'Am', 'Gm', 'A']"
8,All That Matters (ver 2),Justin Bieber,https://tabs.ultimate-guitar.com/tab/justin-bieber/all-that-matters-chords-1427940,"Uh-oh, just as sure as the stars in the sky   
I need you to shine in the life
Not just for the meanwhile, for a long long time, 
Uh-oh, whenever you're not in my presence   
So I sleep through the daylight, stay awake all night, 
You think I'm biased, to my significant other
You hit it right on the head, only been missing my lover
Got a whole lot of texts in my phone and I don't reply, 
You're all that matters to me, yeah yeah, ain't worry about nobody else
If I ain't with you, I'm with myself, you make me complete
You're all that matters to me, yeah, yeah, 
what's a king bed without a queen
There ain't no ""I"" in team, you make me complete, 
you're all that matters to me
Take the keys out the car it won't drive, 
that's how I feel when you're not by my side
When I wake up in the morning up under you, and only you
Uh-oh, I'm grateful for your existence, 
faithful no matter the distance
You're the only girl I see, from the bottom of my heart please believe
You're all that matters to me, yeah yeah, 
ain't worry about nobody else
If I ain't with you, I'm with myself, you make me complete
You're all that matters to me, yeah, yeah,
 what's a king bed without a queen
There ain't no ""I"" in team, you make me complete, 
you're all that matters to me
Yeah, yeah, yeah, yeah, you're all that matters to me
Yeah, yeah, yeah, yeah, you're all that matters to me 
","['Am', 'F', 'E7', 'Am', 'Am', 'F', 'E7', 'Am', 'Am', 'F', 'E', 'Am', 'F', 'E7', 'Am', 'Am', 'F', 'E7', 'Am', 'Am', 'F', 'E7', 'Am', 'Am', 'F', 'E7', 'Am', 'Am', 'F', 'E7', 'Am', 'Am', 'F', 'E7', 'Am', 'Am', 'F', 'E7', 'Am', 'Am', 'F', 'E7', 'Am', 'Am', 'F', 'E7', 'Am', 'Am', 'F', 'E7', 'Am', 'Am', 'F', 'E7', 'Am', 'Am', 'F', 'E7', 'Am', 'Am', 'F', 'E7', 'Am', 'Am', 'F', 'E7', 'Am', 'Am', 'F', 'E7', 'Am', 'Am', 'F', 'E7', 'Am', 'F', 'E7', 'Am']"
9,Confident,Justin Bieber,https://tabs.ultimate-guitar.com/tab/justin-bieber/confident-chords-1449303,"Focused, I'm focused
She got a body like that
Like a fantasy in front of me
I think that something special is going down
That's right I think she foreign
Mi amor started slow, got faster
She gon' work some more, work some more
No stopping her now, no stopping her now
Then she started dancing, sexual romancing
Nasty but she fancy, lipstick on my satin sheets
What's your nationality? I wonder if there's more of you
She's got my attention, she's confident
Oh no no, oh no no
Oh no no, oh no no
Oh no no, oh no no
You could tell by the way she walks in the room
She said it's her first time
Feels so good damn, and I don't know why
I'm addicted, something like a headache
Got me twisted, but still I gotta have it
Explosive, explosive
It's not hard to notice, that I'm open
Then she started dancing, sexual romancing
Nasty but she fancy, mona lisa masterpiece
What's your nationality? I wonder if there's more of you
She's got my attention, she's confident
Oh no no, oh no no
Oh no no, oh no no
Oh no no, oh no no
You could tell by the way she walks in the room
She said it's her first time
Feels so good damn, and I don't know why
I'm addicted, something like a headache
Got me twisted, but still I gotta have it
","['Am', 'B7', 'Am', 'B7', 'Am', 'B7', 'Am', 'B7', 'Am', 'B7', 'Am', 'B7', 'Am', 'B7', 'Am', 'B7', 'Am', 'B7', 'Am', 'B7', 'Am', 'B7', 'Am', 'B7', 'Am', 'B7', 'Am', 'B7', 'Am', 'B7', 'Am', 'B7', 'Am', 'B7', 'Am', 'B7']"
